Fecha,Total de operaciones enviadas
13/04/2023,12900
14/04/2023,16951
15/04/2023,9588
16/04/2023,6433
17/04/2023,12168
18/04/2023,11153
19/04/2023,11051
20/04/2023,12260
21/04/2023,14799
22/04/2023,7820
23/04/2023,5333
24/04/2023,10757
25/04/2023,11231
26/04/2023,11116
27/04/2023,12577
28/04/2023,16847
29/04/2023,10097
30/04/2023,5932
01/05/2023,7489
02/05/2023,12028
03/05/2023,11123
04/05/2023,12211
05/05/2023,15906
06/05/2023,8108
07/05/2023,5179
08/05/2023,11281
09/05/2023,11146
10/05/2023,10393
11/05/2023,11788
12/05/2023,16242
13/05/2023,8183
14/05/2023,5373
15/05/2023,12388
16/05/2023,12079
17/05/2023,11496
18/05/2023,12791
19/05/2023,15347
20/05/2023,7918
21/05/2023,5458
22/05/2023,10959
23/05/2023,10837
24/05/2023,11129
25/05/2023,12565
26/05/2023,15629
27/05/2023,7616
28/05/2023,5113
29/05/2023,12256
30/05/2023,13170
31/05/2023,13684
01/06/2023,14197
02/06/2023,15834
03/06/2023,8032
04/06/2023,6057
05/06/2023,12261
06/06/2023,12162
07/06/2023,11342
08/06/2023,12441
09/06/2023,15617
10/06/2023,8083
11/06/2023,5249
12/06/2023,11372
13/06/2023,11060
14/06/2023,12696
15/06/2023,14789
16/06/2023,16442
17/06/2023,8058
18/06/2023,5246
19/06/2023,10938
20/06/2023,10563
21/06/2023,10212
22/06/2023,11817
23/06/2023,14496
24/06/2023,7276
25/06/2023,4688
26/06/2023,10210
27/06/2023,10209
28/06/2023,10917
29/06/2023,13036
30/06/2023,17158
01/07/2023,8335
02/07/2023,5458
03/07/2023,12191
04/07/2023,11289
05/07/2023,11711
06/07/2023,12519
07/07/2023,15432
08/07/2023,7191
09/07/2023,4695
10/07/2023,10273
11/07/2023,10061
12/07/2023,10163
13/07/2023,12275
14/07/2023,16688
15/07/2023,8044
16/07/2023,4667
17/07/2023,10838
18/07/2023,10331
19/07/2023,10160
20/07/2023,11162
21/07/2023,14072
22/07/2023,6738
23/07/2023,4270
